TIME, ID, ST_B, ST_A, chunking, no_chunk, complete, shutdonw, fail
511.426780, 82, 1, 1, 0, 99, 0, 0, 0
512.924262, 32, 1, 1, 0, 99, 0, 0, 0
514.314028, 77, 1, 1, 0, 99, 0, 0, 0
514.488252, 74, 1, 1, 0, 99, 0, 0, 0
518.243366, 97, 1, 1, 0, 99, 0, 0, 0
519.083969, 94, 1, 1, 0, 99, 0, 0, 0
520.309732, 10, 1, 1, 0, 99, 0, 0, 0
521.174115, 39, 1, 1, 0, 99, 0, 0, 0
521.255695, 44, 1, 1, 0, 99, 0, 0, 0
522.179494, 58, 1, 1, 0, 99, 0, 0, 0
523.566507, 59, 1, 1, 0, 99, 0, 0, 0
523.835324, 49, 1, 1, 0, 99, 0, 0, 0
524.117417, 85, 1, 1, 0, 99, 0, 0, 0
525.270092, 28, 1, 1, 0, 99, 0, 0, 0
525.617083, 25, 1, 1, 0, 99, 0, 0, 0
527.683955, 79, 1, 1, 0, 99, 0, 0, 0
529.074552, 55, 1, 1, 0, 99, 0, 0, 0
